"respondent_id","timestamp","time_to_complete","q_email","q_age","q_gender","q_gender_text","q_education","q1_satisfaction","q2_satisfaction","q3_satisfaction","q4_satisfaction","q5_satisfaction","q6_trust","q7_trust","q8_trust","q9_trust","q10_trust","q11_multiselect_salomon","q11_multiselect_topo","q11_multiselect_saucony","q11_multiselect_brooks","q11_multiselect_asics","q11_multiselect_hoka","q11_multiselect_a_different_brand_not_listed_here","q12_likert","q13_attention","q14_text","q15_miles_per_week"
100,2026-01-22 16:56:36.444241,7.8,"user100@example.com",67,"Female",NA,"High school diploma","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,2026-01-24 00:34:13.101872,7.5,"user101@example.com",75,"Male",NA,"High school diploma","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Agree","Disagree","Agree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,2026-01-24 13:25:19.530462,7.2,"user102@example.com",31,"Female",NA,"High school diploma","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Neither Agree Nor Disagree",NA,NA,NA,NA,"Asics",NA,NA,"Disagree","Yes, I'm paying attention","I really liked this experience!",29
103,2026-01-19 03:47:14.37259,8,"user103@example.com",18,"Male",NA,"Bachelor's degree","Agree","Disagree","Agree","Neither Agree Nor Disagree","Agree","Disagree","Neither Agree Nor Disagree","Disagree","Strongly Disagree","Disagree",NA,"Topo",NA,"Brooks","Asics",NA,NA,"Disagree","Yes, I'm paying attention","Not what I expected",33
104,2026-01-04 21:52:41.029599,8,"user104@example.com",18,"Female",NA,"High school diploma","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Agree",NA,NA,NA,NA,NA,NA,NA,"Disagree","Yes, I'm paying attention","I really liked this experience",37
105,2026-01-10 21:25:34.076323,4.8,"user105@example.com",26,"Male",NA,"Master's degree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Disagree","Disagree","Neither Agree Nor Disagree","Disagree","Agree","Neither Agree Nor Disagree",NA,"Topo","Saucony",NA,NA,NA,"A different brand, not listed here","Disagree","Yes, I'm paying attention","Well organized and clear!",250
106,2026-01-11 13:55:20.47177,9.5,"user106@example.com",55,"Male",NA,"Some college","Neither Agree Nor Disagree","Agree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Agree","Agree","Agree","Agree",NA,NA,"Saucony","Brooks",NA,NA,"A different brand, not listed here","Strongly Disagree","Yes, I'm paying attention","Not what I expected",26
107,2026-01-02 23:57:29.085583,4.6,"user107@example.com",59,"Female",NA,"High school diploma","Neither Agree Nor Disagree","Agree","Agree","Agree","Agree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Agree","Salomon",NA,NA,NA,NA,NA,"A different brand, not listed here","Agree","Yes, I'm paying attention","No strong opinion",34
108,2026-01-25 00:02:02.867603,6.2,"user108@example.com",25,"Male",NA,"Master's degree","Neither Agree Nor Disagree","Agree","Agree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Salomon","Topo",NA,NA,NA,NA,"A different brand, not listed here","Disagree","Yes, I'm paying attention","No strong opinion",30
109,2026-01-16 01:26:29.473676,8.2,"user109@example.com",36,NA,NA,"High school diploma","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Neither Agree Nor Disagree","Agree",NA,NA,NA,NA,"Asics",NA,NA,"Strongly Disagree","Yes, I'm paying attention","Well organized and clear!",42
10,2026-01-21 22:46:19.162978,8,"user10@example.com",40,"Female",NA,"Bachelor's degree","Neither Agree Nor Disagree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree",NA,NA,NA,NA,NA,NA,NA,"Strongly Disagree","Yes, I'm paying attention","It was confusing at times!",41
